timestamp,persona,role,tokens,delta_sec,R,R_smooth,sessionId,source_file
2025-10-12 12:34:27.588712+00:00,기타,unknown,1,0.000269,0.5998383263006687,0.4808167959314753,,d:\nas_backup\outputs\persona_runs\E1\E1_20251012_191158_design-an-empathic-ai-coach-for-creative-writers-e1-baseline_r12.jsonl
2025-10-12 12:34:46.813241+00:00,기타,unknown,1,19.224529,0.028546104822213036,0.366681281065812,,d:\nas_backup\outputs\persona_runs\E2_fix2\E1_20251012_213209_design-an-empathic-ai-coach-for-creative-writers-e1-baseline_r01.jsonl
2025-10-12 12:34:46.814628+00:00,기타,unknown,1,0.001387,0.5991673194561126,0.48522426286986936,sess_20251012_123212,d:\nas_backup\outputs\resonance_ledger\ledger-20251012.jsonl
2025-10-12 12:34:46.815095+00:00,기타,unknown,1,0.000467,0.599719380389422,0.4853862112111381,sess_20251012_123212,d:\nas_backup\outputs\resonance_ledger\ledger-20251012.jsonl
2025-10-12 12:34:46.815344+00:00,기타,unknown,1,0.000249,0.5998503436577395,0.48542429492523115,,d:\nas_backup\outputs\persona_runs\E2_fix2\E1_20251012_213209_design-an-empathic-ai-coach-for-creative-writers-e1-baseline_r01.jsonl
2025-10-12 12:35:13.891500+00:00,기타,unknown,1,27.076156,0.020233301566976475,0.3695032899784927,,d:\nas_backup\outputs\persona_runs\E2_fix2\E1_20251012_213209_assess-emotional-resilience-for-remote-research-teams-e1-baseline_r01.jsonl
2025-10-12 12:35:13.891914+00:00,기타,unknown,1,0.000414,0.5997512148317201,0.48374431198039414,sess_20251012_123450,d:\nas_backup\outputs\resonance_ledger\ledger-20251012.jsonl
2025-10-12 12:35:52.913872+00:00,기타,unknown,1,39.021958,0.013842089345371995,0.36667926595824596,,d:\nas_backup\outputs\persona_runs\E2_fix2\E1_20251012_213209_assess-emotional-resilience-for-remote-research-teams-e1-baseline_r01.jsonl
2025-10-12 12:35:52.914658+00:00,기타,unknown,1,0.000786,0.599527844307715,0.36664095874190455,sess_20251012_123450,d:\nas_backup\outputs\resonance_ledger\ledger-20251012.jsonl
2025-10-12 12:36:43.051461+00:00,기타,unknown,1,50.136803,0.01057714779396585,0.2487863195691499,,d:\nas_backup\outputs\persona_runs\E2_fix2\E1_20251012_213209_assess-emotional-resilience-for-remote-research-teams-e1-baseline_r01.jsonl
2025-10-12 12:36:43.052988+00:00,기타,unknown,1,0.001527,0.5990833990977094,0.3645563390752965,sess_20251012_123450,d:\nas_backup\outputs\resonance_ledger\ledger-20251012.jsonl
2025-10-12 12:36:43.053408+00:00,기타,unknown,1,0.00042,0.5997476107632798,0.3645556182616084,sess_20251012_123450,d:\nas_backup\outputs\resonance_ledger\ledger-20251012.jsonl
2025-10-12 12:36:43.053698+00:00,기타,unknown,1,0.00029,0.5998257085929417,0.4817523421111224,,d:\nas_backup\outputs\persona_runs\E2_fix2\E1_20251012_213209_assess-emotional-resilience-for-remote-research-teams-e1-baseline_r01.jsonl
2025-10-12 12:37:31.192594+00:00,기타,unknown,1,48.138896,0.011055139329126029,0.3640578011154046,,d:\nas_backup\outputs\persona_runs\E1\E1_20251012_191158_assess-emotional-resilience-for-remote-research-teams-e1-baseline_r01.jsonl
2025-10-12 12:37:31.193091+00:00,기타,unknown,1,0.000497,0.5997013623886567,0.4818826440343427,sess_20251012_123431,d:\nas_backup\outputs\resonance_ledger\ledger-20251012.jsonl
2025-10-12 12:37:49.701792+00:00,기타,unknown,1,18.508701,0.029636806091145156,0.36799332543302987,,d:\nas_backup\outputs\persona_runs\E1\E1_20251012_191158_assess-emotional-resilience-for-remote-research-teams-e1-baseline_r01.jsonl
2025-10-12 12:37:49.702061+00:00,기타,unknown,1,0.000269,0.5998383263006687,0.36801146854050765,sess_20251012_123431,d:\nas_backup\outputs\resonance_ledger\ledger-20251012.jsonl
2025-10-12 12:39:58.310886+00:00,기타,unknown,1,128.608825,0.003459268776890526,0.2487381805772974,,d:\nas_backup\outputs\persona_runs\E1\E1_20251012_191158_assess-emotional-resilience-for-remote-research-teams-e1-baseline_r01.jsonl
2025-10-12 12:39:58.311270+00:00,기타,unknown,1,0.000384,0.5997692358224046,0.3664809998759531,sess_20251012_123431,d:\nas_backup\outputs\resonance_ledger\ledger-20251012.jsonl
2025-10-12 12:39:58.311536+00:00,기타,unknown,1,0.000266,0.5998401288735932,0.3665087531729404,sess_20251012_123431,d:\nas_backup\outputs\resonance_ledger\ledger-20251012.jsonl
2025-10-12 12:39:58.311671+00:00,기타,unknown,1,0.000135,0.5999188517706611,0.4805651623088436,,d:\nas_backup\outputs\persona_runs\E1\E1_20251012_191158_assess-emotional-resilience-for-remote-research-teams-e1-baseline_r01.jsonl
2025-10-12 12:42:32.992432+00:00,기타,unknown,1,154.680761,0.002682471548546467,0.36113399135841917,,d:\nas_backup\outputs\persona_runs\E1\E1_20251012_191158_assess-emotional-resilience-for-remote-research-teams-e1-baseline_r01.jsonl
