Timestamp,LocalMs,CloudMs,GatewayMs,LocalOnline,CloudOnline,GatewayOnline
2025-10-31T09:03:06,2055,274,217,1,1,1
2025-10-31T09:08:06,2066,267,220,1,1,1
2025-10-31T09:13:06,2060,271,215,1,1,1
2025-10-31T09:18:06,2055,266,221,1,1,1
2025-10-31T09:23:06,2063,299,216,1,1,1
2025-10-31T09:28:06,2062,300,218,1,1,1
2025-10-31T09:33:06,2069,270,217,1,1,1
2025-10-31T09:38:06,2080,299,221,1,1,1
2025-10-31T09:43:06,2058,269,219,1,1,1
2025-10-31T09:48:07,2056,312,222,1,1,1
2025-10-31T09:53:06,2065,236,226,1,1,1
2025-10-31T09:58:09,2039,270,216,1,1,1
2025-10-31T10:03:06,2056,318,219,1,1,1
2025-10-31T10:08:07,2062,267,216,1,1,1
2025-10-31T10:13:06,2060,268,215,1,1,1
2025-10-31T10:18:07,2064,284,216,1,1,1
2025-10-31T10:23:07,2054,491,215,1,1,1
2025-10-31T10:28:07,2058,269,216,1,1,1
2025-10-31T10:33:06,2064,274,217,1,1,1
2025-10-31T10:38:06,2053,270,222,1,1,1
2025-10-31T10:43:05,2064,270,214,1,1,1
2025-10-31T10:48:06,2054,272,219,1,1,1
2025-10-31T10:53:05,2068,304,212,1,1,1
2025-10-31T10:58:06,2051,270,218,1,1,1
2025-10-31T11:03:06,2065,290,216,1,1,1
2025-10-31T11:13:26,3076,288,213,0,1,1
2025-10-31T11:18:07,2071,356,221,1,1,1
